url_length,hostname_length,num_dots,num_hyphens,num_subdomains,has_ip,has_at_symbol,has_double_slash,is_https,num_digits_domain,suspicious_words,domain_length,label
73,27,4,0,1,0,0,0,1,0,0,14,1
39,25,2,3,1,0,0,0,1,0,0,9,1
26,6,1,0,0,0,0,0,0,0,0,3,1
10,0,1,0,0,0,0,0,0,0,0,6,0
23,8,2,0,1,0,0,0,1,0,0,3,1
31,22,2,0,1,0,0,0,1,0,0,6,1
9,0,1,0,0,0,0,0,0,0,0,5,0
205,16,3,1,1,0,0,0,1,0,0,6,1
32,23,1,2,0,0,0,0,1,0,1,19,1
41,28,2,1,1,0,0,0,1,0,0,9,1
25,12,2,0,0,0,0,0,1,0,0,8,1
14,0,1,0,0,0,0,0,0,0,0,10,0
67,43,3,1,1,0,0,0,1,1,0,2,1
9,0,1,0,0,0,0,0,0,0,0,5,0
42,25,2,1,1,0,0,0,1,0,0,9,1
